coin,trades,total_volume_usd,total_closed_pnl,mean_trade_usd
BTC,26064,644232116.63,868044.732638,24717.31570864027
HYPE,68005,141990206.05,1948484.599761,2087.9377406073086
SOL,10691,125074752.06,1639555.927506,11699.06950332055
ETH,11158,118280994.07,1319978.838852,10600.555123678078
@107,29992,55760858.63,2783912.919016,1859.1910719525208
FARTCOIN,4650,8311390.4,-100687.213185,1787.3957849462367
SUI,1979,7781167.59,199268.834922,3931.8684133400707
TRUMP,1920,7349346.94,-364824.908179,3827.7848645833337
MELANIA,4428,7040710.45,390351.069856,1590.0430103884373
XRP,1774,5343210.53,3756.901464999999,3011.9563303269447
PAXG,1265,3047336.39,-18688.874329,2408.96157312253
KBONK,1647,2995780.58,35551.245276,1818.9317425622344
WLD,1983,2792841.63,22281.920156,1408.3921482602118
@142,1309,2486351.27,7450.359672,1899.428013750955
DOGE,826,2452103.46,147543.156534,2968.6482566585955
KPEPE,1730,2450800.07,18676.997284,1416.6474393063584
JELLY,992,2193971.31,35193.716244,2211.664627016129
BERA,1054,2056756.0,73689.746587,1951.3814041745732
ONDO,1463,1726582.09,24570.824905,1180.1654750512646
TAO,1082,1693805.35,16817.94047,1565.439325323475
PURR/USDC,2774,1642418.69,75261.058019,592.0759516943042
ENA,990,1625400.5,217329.503554,1641.8186868686869
JUP,644,1496950.4,42909.223316999996,2324.4571428571426
VIRTUAL,570,1361590.25,19544.481508,2388.7548245614034
ZEREBRO,769,1320048.45,21166.925278,1716.5779583875162
AIXBT,819,1273650.18,73712.168895,1555.128424908425
SEI,235,1266275.0,9957.777466,5388.404255319149
ZRO,1239,1213825.42,183777.783689,979.6815334947538
AAVE,585,1100411.81,7485.007984,1881.0458290598292
PURR,1198,1098592.1,26766.355202,917.0217863105177
ADA,581,1094836.4,-28113.46197,1884.3999999999999
LAYER,478,1060068.85,20496.4351,2217.717259414226
PENGU,927,1012148.96,5217.341266,1091.8543257820927
USUAL,598,962189.37,69631.943237,1609.0123244147157
PNUT,586,961622.8200000001,14844.964381,1640.9945733788397
KAITO,435,897912.98,-8735.140961,2064.1677701149424
NEAR,223,813006.76,13957.535979,3645.770224215247
POPCAT,1152,803456.85,-7922.181871,697.4451822916667
ETHFI,311,769716.13,43929.006074,2474.9714790996786
TIA,322,764851.23,13021.498254,2375.3143788819875
VINE,811,676727.95,4777.252708,834.4364364981503
RUNE,322,672350.38,6244.389123,2088.044658385093
APE,692,655500.97,9731.40994,947.2557369942197
AI16Z,540,631600.28,8024.352668,1169.6301481481482
RNDR,176,619792.36,13566.322558,3521.5475
PENDLE,1165,619760.27,7712.609738,531.9830643776825
ANIME,660,590255.83,21317.258031,894.3270151515151
WIF,289,588175.4,8984.600779,2035.2089965397925
GRIFFAIN,562,583690.79,7092.139995,1038.5957117437722
@151,324,574271.34,11583.842769,1772.4424074074072
TST,165,490758.53,3357.994369,2974.2941212121214
NIL,226,481868.22,-3175.273635,2132.1602654867256
IP,469,477338.87,3043.288104,1017.7801066098081
FTM,89,464105.23,6916.166218,5214.665505617977
ALT,249,452509.6,5870.702544,1817.3076305220882
LINK,355,443972.69,4601.098394,1250.6272957746478
PYTH,149,419640.75,1824.119272,2816.3808724832215
EIGEN,330,417781.52999999997,65030.852352,1266.0046363636363
TNSR,693,415869.25,5106.264766,600.0999278499279
BNB,156,413782.45,303.200972,2652.451602564103
AVAX,202,400115.48,48297.313845000004,1980.769702970297
@123,163,400024.33,0.0,2454.136993865031
DYDX,151,397233.48,539.164485,2630.685298013245
FTT,1560,384755.3,6909.363767,246.6380128205128
GOAT,104,376116.52,8142.94114,3616.505
JTO,134,355918.02,7408.051171,2656.104626865672
INJ,158,347802.64,5919.778398,2201.2825316455696
MAVIA,298,345694.75,8257.300045,1160.0494966442952
LTC,191,343217.55,5626.143524,1796.9505235602094
ZORA,152,340924.26,6816.51283,2242.9227631578947
OP,173,340426.57,8078.296967,1967.783641618497
ILV,159,319713.52,5309.104755,2010.776855345912
ME,488,316205.37,16011.899938,647.9618237704918
ZETA,245,313968.58,4622.601501,1281.5044081632655
ARB,147,311759.41,9634.58006,2120.81231292517
W,592,306770.28,1593.757483,518.1930405405406
SPX,90,289426.51,5612.831099,3215.8501111111113
CHILLGUY,215,266880.32,4727.794586,1241.3038139534883
IO,352,252981.67,-21893.910518,718.6979261363637
NTRN,99,248372.3,1601.759155,2508.811111111111
PROMPT,125,231701.51,2377.976177,1853.61208
MATIC,38,231562.53,668.931017,6093.750789473685
RENDER,234,231090.13,6100.258256,987.5646581196581
S,144,224183.08,-8644.845718,1556.8269444444443
APT,114,216136.03,1749.189965,1895.9300877192982
VVV,85,213572.86000000002,2212.897418,2512.621882352941
TURBO,83,183553.46,8540.129944,2211.487469879518
BLUR,78,175549.22,3353.129145,2250.6310256410256
MEME,107,173898.29,4457.20042,1625.217663551402
STX,128,173875.01,1583.885992,1358.398515625
MOODENG,107,161956.47,16167.348348000001,1513.6118691588786
GRASS,201,156915.52,1253.272989,780.6742288557214
DOT,74,153984.59,193.48789299999999,2080.872837837838
BADGER,190,153716.13999999998,1439.733233,809.0323157894736
BIO,170,150146.37,1298.512254,883.2139411764706
BRETT,145,144922.78,958.287363,999.467448275862
MOVE,122,130978.56,2562.894536,1073.5947540983607
GMX,120,124024.95,699.433714,1033.54125
CRV,138,121969.81999999999,-1249.722505,883.8392753623187
HYPER,31,119127.13,874.4737,3842.8106451612903
@153,102,117912.92,35.217067,1156.0090196078431
BIGTIME,51,117712.14,1838.5441700000001,2308.081176470588
COMP,95,113669.31,2814.398024,1196.519052631579
FXS,101,113054.22,-121.92971200000001,1119.348712871287
FET,49,106291.12,229.1654,2169.206530612245
SAND,205,95828.66,2213.437927,467.4568780487805
@4,885,87457.2,-95.963977,98.82169491525423
KSHIB,36,83627.17,279.13726399999996,2322.9769444444446
STRK,48,83026.4,-1517.376015,1729.7166666666665
MANTA,96,78103.9,1483.648906,813.5822916666666
HBAR,238,75989.03,1909.508064,319.2816386554622
HPOS,125,74362.93,1979.33753,594.9034399999999
TRX,80,73744.58,670.1615039999999,921.8072500000001
ACE,25,72261.42,2760.71491,2890.4568
MORPHO,40,69483.86,421.871013,1737.0965
GMT,104,66397.39,328.62974099999997,638.4364423076923
XAI,8,64998.32,1074.213807,8124.79
@152,88,59831.5,0.599998,679.9034090909091
WCT,47,58468.89,1531.72532,1244.0189361702128
OGN,258,58247.64,1752.668422,225.7660465116279
TON,30,53812.28,-18.09871,1793.7426666666665
YGG,37,53533.630000000005,1043.757286,1446.854864864865
SCR,32,49793.18,1612.97536,1556.036875
INIT,31,49061.87,364.5007,1582.6409677419356
@85,132,49034.5,26506.140009,371.4734848484849
SUSHI,106,47324.92,605.441925,446.46150943396225
MYRO,15,47222.34,53.47767,3148.156
@8,276,44809.65,162.720529,162.3538043478261
UNI,61,44427.01,347.766005,728.3116393442623
