trade_date,sentiment_bucket,trades,unique_accounts,total_volume_usd,total_pnl,avg_trade_size_usd,long_ratio,short_ratio
2023-05-01,Greed,3,1,477.0,0.0,159.0,1.0,0.0
2023-12-05,Greed,9,1,50005.83,0.0,5556.203333333334,0.7777777777777778,0.2222222222222222
2023-12-14,Greed,11,1,113203.35,-205.43473700000007,10291.213636363636,0.6363636363636364,0.36363636363636365
2023-12-15,Greed,2,1,10609.95,-24.632033999999997,5304.975,0.0,1.0
2023-12-16,Greed,3,1,15348.77,0.0,5116.256666666667,1.0,0.0
2023-12-17,Greed,14,1,116278.02,304.982785,8305.572857142857,1.0,0.0
2023-12-18,Greed,2,1,31164.179999999997,0.0,15582.089999999998,1.0,0.0
2023-12-19,Greed,15,1,91602.41,1000.5386120000001,6106.827333333334,1.0,0.0
2023-12-20,Greed,18,1,141636.79,162.732282,7868.710555555556,1.0,0.0
2023-12-21,Greed,49,1,125233.97,537.211402,2555.795306122449,1.0,0.0
2023-12-22,Greed,10,1,88874.28,141.832675,8887.428,1.0,0.0
2023-12-23,Greed,13,1,78438.25,146.936704,6033.711538461538,1.0,0.0
2023-12-24,Greed,39,1,402954.94,1008.619956,10332.177948717948,0.8205128205128205,0.1794871794871795
2023-12-25,Greed,3,1,59948.51,-245.081348,19982.836666666666,1.0,0.0
2023-12-27,Greed,28,1,171411.06,-704.8892269999999,6121.823571428571,1.0,0.0
2023-12-28,Greed,23,1,100117.25,-970.730876,4352.923913043478,1.0,0.0
2023-12-29,Greed,50,1,569559.72,508.92214299999995,11391.1944,0.74,0.26
2023-12-30,Greed,52,1,702550.21,354.998648,13510.58096153846,0.6730769230769231,0.3269230769230769
2024-01-01,Greed,18,1,264239.52999999997,-129.53146,14679.973888888888,0.7777777777777778,0.2222222222222222
2024-01-02,Greed,17,1,121348.74,783.979116,7138.1611764705885,0.0,1.0
2024-01-03,Greed,67,1,394499.36,866.015507,5888.050149253731,1.0,0.0
2024-01-04,Greed,5,1,99792.54000000001,-67.60364,19958.508,1.0,0.0
2024-01-05,Greed,66,1,1703942.66,164.141565,25817.31303030303,0.6363636363636364,0.36363636363636365
2024-01-06,Greed,22,1,298521.4,135.58166400000002,13569.154545454547,0.8636363636363636,0.13636363636363635
2024-01-07,Greed,97,1,1048850.06,-835.681235,10812.887216494846,0.8144329896907216,0.18556701030927836
2024-01-08,Greed,128,1,1522452.43,-269.874439,11894.159609375,0.6328125,0.3671875
2024-01-09,Greed,70,1,870051.97,-826.349863,12429.313857142857,0.7142857142857143,0.2857142857142857
2024-01-10,Greed,193,1,2057479.48,-1517.091342,10660.515440414507,0.533678756476684,0.46632124352331605
2024-01-11,Greed,21,2,305314.1,-164.08950099999998,14538.766666666666,0.5714285714285714,0.42857142857142855
2024-01-12,Greed,7,1,200082.27,-1925.519024,28583.181428571428,1.0,0.0
2024-01-15,Neutral,14,2,50636.1,152.85358,3616.8642857142854,1.0,0.0
2024-01-16,Greed,9,2,116427.33,-2299.171458,12936.37,1.0,0.0
2024-01-17,Greed,53,1,800831.03,813.2741110000001,15110.019433962265,0.5283018867924528,0.4716981132075472
2024-01-18,Greed,46,1,424631.52999999997,68.93319,9231.120217391304,0.45652173913043476,0.5434782608695652
2024-01-19,Neutral,48,2,428428.97,-385.419235,8925.603541666665,0.6666666666666666,0.3541666666666667
2024-01-20,Neutral,106,1,1070090.51,-146.57487000000003,10095.193490566038,0.5849056603773585,0.41509433962264153
2024-01-21,Greed,11,1,103129.74,266.58114600000005,9375.43090909091,0.36363636363636365,0.6363636363636364
2024-01-22,Greed,85,2,337878.99,1375.640959,3975.0469411764707,0.5882352941176471,0.4117647058823529
2024-01-23,Neutral,45,1,414518.93000000005,-369.2447299999998,9211.531777777778,0.6,0.4
2024-01-24,Neutral,68,1,965084.59,-2808.353815,14192.42044117647,0.6029411764705882,0.39705882352941174
2024-01-25,Neutral,6,1,66566.13,-3093.6293849999997,11094.355000000001,1.0,0.0
2024-01-26,Neutral,5,2,11773.21,90.2,2354.642,1.0,0.0
2024-01-28,Neutral,11,1,18109.03,-2478.06972,1646.2754545454545,1.0,0.0
2024-01-29,Greed,74,2,414208.18,486.562542,5597.407837837838,0.6216216216216216,0.3783783783783784
2024-01-30,Greed,49,1,401011.38,-173.65419100000003,8183.905714285715,0.3877551020408163,0.6122448979591837
2024-01-31,Greed,859,1,6305647.13,-799.840817,7340.683504074505,0.47497089639115253,0.5273573923166472
2024-02-01,Greed,6,1,2008.18,0.0,334.69666666666666,1.0,0.0
2024-02-02,Greed,42,1,474278.43,456.423473,11292.343571428572,0.6666666666666666,0.3333333333333333
2024-02-03,Greed,56,1,603820.0,223.30918699999998,10782.5,0.32142857142857145,0.6785714285714286
2024-02-04,Greed,35,1,203187.53,47.62389499999999,5805.358,0.6571428571428571,0.34285714285714286
2024-02-05,Greed,72,1,770198.26,-33.45419400000003,10697.198055555556,0.6527777777777778,0.3472222222222222
2024-02-06,Greed,1088,1,8047153.41,-215.615907,7396.280707720588,0.49724264705882354,0.5183823529411765
2024-02-07,Greed,15,1,6758.73,241.24212,450.582,0.3333333333333333,0.6666666666666666
2024-02-08,Greed,10,1,26051.12,770.756024,2605.112,0.4,0.6
2024-02-11,Greed,34,1,212311.82,983.443176,6244.465294117647,0.6470588235294118,0.35294117647058826
2024-02-12,Greed,16,1,227247.69999999998,913.8817869999998,14202.981249999999,0.25,0.75
2024-02-13,Greed,14,1,1999.99,559.44389,142.85642857142858,1.0,0.0
2024-02-14,Greed,111,2,320839.88,3830.599833,2890.4493693693694,0.6666666666666666,0.3333333333333333
2024-02-15,Greed,63,2,185188.04,1840.797677,2939.4926984126987,0.12698412698412698,0.873015873015873
2024-02-16,Greed,182,2,564896.51,5491.768834,3103.826978021978,0.33516483516483514,0.6648351648351648
2024-02-17,Greed,94,2,406118.07,1929.6418,4320.405,0.7340425531914894,0.26595744680851063
2024-02-18,Greed,97,1,157048.17,477.6248299999999,1619.0532989690723,0.845360824742268,0.15463917525773196
2024-02-19,Greed,101,2,286377.2,4317.768563,2835.417821782178,0.5643564356435643,0.44554455445544555
2024-02-20,Greed,39,2,119419.72,3263.628824,3062.0441025641026,0.7435897435897436,0.2564102564102564
2024-02-21,Greed,22,2,108047.51999999999,1858.7985700000002,4911.250909090909,1.0,0.0
2024-02-22,Greed,88,2,373033.87,3894.1050699999996,4239.02125,1.0,0.022727272727272728
2024-02-23,Greed,143,1,111106.14,1418.55293,776.966013986014,0.07692307692307693,0.9230769230769231
2024-02-25,Greed,5,1,4480.13,-30.7705,896.0260000000001,0.0,1.0
2024-02-26,Greed,39,2,192187.14,4416.8473,4927.875384615385,0.23076923076923078,0.7692307692307693
2024-02-27,Greed,63,2,209362.3,888.511733,3323.2111111111108,0.36507936507936506,0.6349206349206349
2024-02-28,Greed,45,1,171107.13,2503.747235,3802.380666666667,0.26666666666666666,0.7333333333333333
2024-02-29,Greed,116,2,395666.73,9813.996992,3410.9200862068965,0.39655172413793105,0.6120689655172413
2024-03-01,Greed,137,1,472974.7,8244.241409,3452.370072992701,0.781021897810219,0.21897810218978103
2024-03-02,Greed,31,2,63197.56,230.90060000000005,2038.6309677419354,0.06451612903225806,0.9354838709677419
2024-03-03,Greed,79,1,390745.68,8361.086245,4946.1478481012655,0.759493670886076,0.24050632911392406
2024-03-04,Greed,300,2,1577996.87,27799.775742,5259.989566666667,0.49666666666666665,0.5033333333333333
2024-03-05,Greed,180,1,841810.32,19791.026041,4676.724,0.7333333333333333,0.26666666666666666
2024-03-06,Greed,82,1,327218.02,6814.825139,3990.4636585365856,0.35365853658536583,0.6463414634146342
2024-03-08,Greed,67,1,183583.18,4271.886236,2740.047462686567,0.7164179104477612,0.2835820895522388
2024-03-09,Greed,117,1,658178.75,9949.501624,5625.459401709401,0.2222222222222222,0.7777777777777778
2024-03-10,Greed,42,1,219973.85,2482.9272,5237.472619047619,0.0,1.0
2024-03-11,Greed,42,1,176519.44999999998,3588.179495,4202.844047619047,0.6904761904761905,0.30952380952380953
2024-03-12,Greed,8,1,103040.85,3039.166,12880.10625,1.0,0.0
2024-03-13,Greed,7,1,6000.799999999999,0.0,857.2571428571428,1.0,0.0
2024-03-14,Greed,18,2,205933.18,3465.865832,11440.732222222221,1.0,0.0
2024-03-15,Greed,62,3,351894.41,6236.513651,5675.71629032258,0.6290322580645161,0.3709677419354839
2024-03-16,Greed,8,2,37223.66,228.57984,4652.9575,0.75,0.25
2024-03-17,Greed,23,3,99506.95,503.293955,4326.389130434783,0.6956521739130435,0.30434782608695654
2024-03-18,Greed,19,3,90458.08,1456.9577,4760.951578947369,1.0,0.0
2024-03-19,Greed,24,3,219884.84,668.797973,9161.868333333334,0.5833333333333334,0.4166666666666667
2024-03-20,Greed,69,2,215705.85,6423.134599,3126.171739130435,0.6521739130434783,0.34782608695652173
2024-03-21,Greed,28,3,117895.57,2335.5080749999997,4210.556071428572,0.17857142857142858,0.8214285714285714
2024-03-24,Greed,19,1,92592.20999999999,1297.018477,4873.274210526315,0.0,1.0
2024-03-25,Greed,7,1,57116.32,1302.916428,8159.4742857142855,0.8571428571428571,0.14285714285714285
2024-03-26,Greed,118,2,198565.19,3215.906593,1682.7558474576272,0.9830508474576272,0.01694915254237288
2024-03-27,Greed,38,2,99864.79,150.41114,2628.020789473684,0.631578947368421,0.3684210526315789
2024-03-28,Greed,13,2,35323.72,227.85100799999998,2717.209230769231,0.23076923076923078,0.7692307692307693
2024-03-29,Greed,15,1,86914.37,883.097404,5794.291333333333,1.0,0.0
2024-03-30,Greed,45,1,101103.92,1100.57514,2246.753777777778,1.0,0.0
