trade_date,trades,total_volume_usd,total_closed_pnl,nonzero_closed_pnl,buy_ratio,fg_value
2023-05-01,3,477.0,0.0,0.0,1.0,63.0
2023-12-05,9,50005.83,0.0,0.0,0.7777777777777778,75.0
2023-12-14,11,113203.35,-205.43473700000007,-205.43473700000007,0.45454545454545453,72.0
2023-12-15,2,10609.95,-24.632033999999997,-24.632033999999997,1.0,70.0
2023-12-16,3,15348.77,0.0,0.0,1.0,67.0
2023-12-17,14,116278.02,304.982785,304.982785,0.21428571428571427,73.0
2023-12-18,2,31164.179999999997,0.0,0.0,1.0,65.0
2023-12-19,15,91602.41,1000.5386120000001,1000.5386120000001,0.3333333333333333,73.0
2023-12-20,18,141636.79,162.732282,162.732282,0.5555555555555556,74.0
2023-12-21,49,125233.97,537.211402,537.211402,0.4489795918367347,70.0
2023-12-22,10,88874.28,141.832675,141.832675,0.8,74.0
2023-12-23,13,78438.25,146.936704,146.93670400000002,0.38461538461538464,70.0
2023-12-24,39,402954.94,1008.619956,1008.6199559999999,0.5384615384615384,71.0
2023-12-25,3,59948.51,-245.081348,-245.081348,0.6666666666666666,73.0
2023-12-27,28,171411.06,-704.8892269999999,-704.8892269999999,0.5357142857142857,73.0
2023-12-28,23,100117.25,-970.730876,-970.7308760000001,0.43478260869565216,73.0
2023-12-29,50,569559.72,508.92214299999995,508.922143,0.62,65.0
2023-12-30,52,702550.21,354.998648,354.99864799999995,0.38461538461538464,68.0
2024-01-01,18,264239.52999999997,-129.53146,-129.53146,0.5555555555555556,65.0
2024-01-02,17,121348.74,783.979116,783.9791160000001,0.5294117647058824,71.0
2024-01-03,67,394499.36,866.015507,866.0155070000001,0.47761194029850745,70.0
2024-01-04,5,99792.54000000001,-67.60364,-67.60364,0.4,68.0
2024-01-05,66,1703942.66,164.141565,164.14156499999999,0.4696969696969697,72.0
2024-01-06,22,298521.4,135.58166400000002,135.58166400000002,0.5,70.0
2024-01-07,97,1048850.06,-835.681235,-835.681235,0.5360824742268041,71.0
2024-01-08,128,1522452.43,-269.874439,-269.87443900000005,0.3125,71.0
2024-01-09,70,870051.97,-826.349863,-826.3498629999999,0.4,76.0
2024-01-10,193,2057479.48,-1517.091342,-1517.091342,0.47668393782383417,73.0
2024-01-11,21,305314.1,-164.08950099999998,-164.08950099999998,0.6190476190476191,76.0
2024-01-12,7,200082.27,-1925.519024,-1925.519024,0.7142857142857143,71.0
2024-01-15,14,50636.1,152.85358,152.85358,0.35714285714285715,52.0
2024-01-16,9,116427.33,-2299.171458,-2299.171458,0.4444444444444444,64.0
2024-01-17,53,800831.03,813.2741110000001,813.274111,0.5849056603773585,60.0
2024-01-18,46,424631.52999999997,68.93319,68.93319,0.391304347826087,63.0
2024-01-19,48,428428.97,-385.419235,-385.4192349999999,0.6458333333333334,51.0
2024-01-20,106,1070090.51,-146.57487000000003,-146.57486999999995,0.5660377358490566,52.0
2024-01-21,11,103129.74,266.58114600000005,266.581146,0.2727272727272727,56.0
2024-01-22,85,337878.99,1375.640959,1375.640959,0.6,55.0
2024-01-23,45,414518.93000000005,-369.2447299999998,-369.2447299999999,0.7333333333333333,50.0
2024-01-24,68,965084.59,-2808.353815,-2808.353815,0.39705882352941174,48.0
2024-01-25,6,66566.13,-3093.6293849999997,-3093.629385,0.0,52.0
2024-01-26,5,11773.21,90.2,90.2,0.8,49.0
2024-01-28,11,18109.03,-2478.06972,-2478.06972,0.0,54.0
2024-01-29,74,414208.18,486.562542,486.56254199999995,0.28378378378378377,55.0
2024-01-30,49,401011.38,-173.65419100000003,-173.65419100000003,0.5714285714285714,61.0
2024-01-31,859,6305647.13,-799.840817,-799.840817,0.5471478463329453,60.0
2024-02-01,6,2008.18,0.0,0.0,1.0,63.0
2024-02-02,42,474278.43,456.423473,456.42347299999994,0.4523809523809524,63.0
2024-02-03,56,603820.0,223.30918699999998,223.30918699999998,0.32142857142857145,60.0
2024-02-04,35,203187.53,47.62389499999999,47.623895,0.5428571428571428,60.0
2024-02-05,72,770198.26,-33.45419400000003,-33.454194000000044,0.4583333333333333,60.0
2024-02-06,1088,8047153.41,-215.615907,-215.61590699999994,0.47610294117647056,64.0
2024-02-07,15,6758.73,241.24212,241.24212,0.4666666666666667,62.0
2024-02-08,10,26051.12,770.756024,770.7560239999999,0.2,66.0
2024-02-11,34,212311.82,983.443176,983.443176,0.6764705882352942,71.0
2024-02-12,16,227247.69999999998,913.8817869999998,913.8817869999999,0.6875,70.0
2024-02-13,14,1999.99,559.44389,559.44389,0.0,79.0
2024-02-14,111,320839.88,3830.599833,3830.5998329999993,0.3063063063063063,74.0
2024-02-15,63,185188.04,1840.797677,1840.797677,0.8253968253968254,72.0
2024-02-16,182,564896.51,5491.768834,5491.768834,0.6318681318681318,72.0
2024-02-17,94,406118.07,1929.6418,1929.6418,0.5319148936170213,76.0
2024-02-18,97,157048.17,477.6248299999999,477.62483000000014,0.3917525773195876,72.0
2024-02-19,101,286377.2,4317.768563,4317.7685630000005,0.40594059405940597,75.0
